Adhola,English
jobino konyin iniaŋ gima Baibul fuonjo.,they will help you understand what the Bible teaches.
Wach ri jo ni imito fuonjere Baibul.,Just tell them that you want to study the Bible
Jolefuonjin mongoye pesa moro jye m’ichulo.,They do not charge money for this.
"Medo kwoŋ meno, inyalo kidho kachokirok pajo milwoŋo ni Kingdom Hall.","In addition, you can attend Christian meetings in places called Kingdom Halls."
" Ka inokidhi i chokirok pa Jokristo me, ibino medo ŋeyo Were."," If you attend Christian meetings, you will rapidly grow in your knowledge of God."
Gikipiny ma Were ochweyo nyalo fuonjin gima mako kwoŋ go,You can learn about God from the things he has made
Baibul wacho ni: ‘Were ochweyo polo gi piny," For example, the Bible says: “God created the heavens and the earth"
"Jehova kochweyo “polo” kende, to ochweyo kir waŋchieŋ","When Jehovah created “the heavens,” he made the sun"
Meno fuonjo wan aŋo kwoŋ Were? Fuonjo wan nike Jehova ni gi men madit swa,Now what does that tell us about God? It tells us that Jehovah has great power
Go kende ama nyalo timo gima ni gi men paka waŋchieŋ,Only he could make something as powerful as the sun
" Kendo gino fuonjo wan nike Jehova ryek, rupiri ripo bedo ni go ooro ryeko madit swa nyalo chweyo waŋchieŋ ma miyo wan lero aka ma kinyal leny woko"," It also tells us that Jehovah is wise, since it required wisdom to make the sun, which gives out heat and light and never burns out"
Chwech pa Jehova nyutho ni go maro wan,Jehovah’s creation shows that he loves us
Par kwoŋ yen mopokere opokere ma Jehova ochweyo manyiak girachama,Think about all the different kinds of fruits that there are on earth
Jehova oido nyalo chweyo yath achiel kende kosa to weyo ma kochweyo kada achiel,Jehovah could have provided just one kind of fruit for us​—or none at all
" To, Jehova ochweyo ri wan yen makweth manyiak girachama"," Instead, Jehovah gave us many types of fruit with a great variety of shapes, sizes, colors, and tastes"
" Gino nyutho ni Jehova obedo Were ma maro wan, ma japok, ma dewo kwoŋ wan, kendo mani gi wor",This shows that Jehovah is a God who is not only loving but also very generous and thoughtful and kind
Piny pa Were manyien kobedi paka piny ma wan’iye pama,Paradise will not be like the world we live in now
" Kobedo atoŋa pa Were nike piny wobed’iye teko, rembo, litho kodi chandirok"," God never wanted the earth to be filled with trouble and sorrow, pain and suffering"
" I hongo mabino, Were bino loko piny me kabedo maŋon"," In the future, God will make the earth a paradise"
Piny manyien lechale nedi? Wey wanen gima Baibul wacho:,What will Paradise be like? Let us see what the Bible says:
Ji mabeyo,Good people
Merin pa Were ama jobino bedo i piny manyien,Paradise will be the home of God’s friends
Kis dhano bino timo ri nyawote gikipiny mabeyo,They will do good things for one another
Jobino kuro chik pa Were,They will live according to the righteous ways of God
Chiemo bino bedo mathoth,Plenty of food
Kech kobedi i piny manyien," In Paradise, there will be no hunger"
Baibul wacho ni: Chiemo bino bedo mathoth i piny," The Bible says: “There will come to be plenty of grain [or, food] on the earth"
Udi mabeyo gi tich ma kelo kisangala,Fine houses and enjoyable work
" I piny manyien, kis dhano lebedo gi pecho pere"," On the Paradise earth, every family will have a home of its own"
Kis dhano bino timo tich ma kelo ri go kisangala,Everyone will do work that brings true happiness
Syem i piny gipi,Peace worldwide
Ji odoko jokonekere i lweny,No longer will people fight and die in war
Wach pa Were wacho ni: “Go kweyo lweny i piny gibe,God’s Word says: “[God] is making wars to cease
Kwo maber.,Good health.
Baibul wacho ni: ‘Ongoye ŋata bed i piny ma latwo kendo,The Bible promises: “No resident [of Paradise] will say: ‘I am sick.
"Kendo piny manyien kobed’iye jomoŋol, joma waŋ gin otho, kosa obadha.","Also, no one will be lame or blind or deaf or unable to talk."
"Litho, rembo kodi tho jye bino rumo woko. ","An end to pain, sorrow, and death. "
rupiri gikipiny macon jotieko leny woko.,The former things have passed away.
"Wach pa Were wacho ni: “Tho odoko kobedi, kosa rembo, kosa ywak, kosa litho","God’s Word says: “Death will be no more, neither will mourning nor outcry nor pain be anymore."
Jomarecho jokobedi.,Bad people will be gone.
Jehova chiko ni jomarecho ibino reyo jo woko.," Jehovah promises: “The wicked . . . will be cut off from the very earth""."
Ji jobino marere kendo jobino worere,People will love and respect one another
" Chando ji, woro, kodi dakirok kobedi"," No longer will there be injustice, oppression, greed, and hatred"
Ji jye jobino tiyere maber kendo jobino luwo chik pa Were,People will be united and will live in harmony with God’s righteous ways
"Baibul waco ri wan gim’omiyo Were ocweyo piny, hongo ma candirok bino rum’iye, kodi gim’omiyo Were ocweyo piny kodi ji","The Bible explains why God created the earth, when suffering will end, and what the future holds for the earth and those who live on it"
"Gikipiny marecho matimere i piny konon, nyutho ni piny manyien chiegin tundo. ",The bad things that are now happening on earth show that Paradise is near.
Baibul chango owacho ni di waneno teko makweth munyo piny manyien chiegin tundo.,The Bible said that we would see terrible times just before the Paradise would come.
" Adyeri, pama wanitye i hongo ma chalo ameno.",We are living in such times now!
Me a gikipiny megi ma Baibul chango owacho ni d’otimere:,Here are some of the things that the Bible said would happen:
Lweny,Great wars
"Nono bino lwenyo gi nono man, to ker acel lwenyo gi ker man",Nation will rise against nation and kingdom against kingdom
 Mikwenda me otyeko tundo i kare,This prophecy has come true
" Wok i oro ma 1914, watyeko bedo gi lweny ma piny gipi diryo kodi lweny megi i kabedo mopokere opokere"," Since the year 1914, there have been two world wars and many smaller wars"
Ji gana gi gana jotyeko tho i lweny,Millions of people have died in them
Two moasere,Widespread disease
‘Two labedo bedo i kabedo m’opokere,There would be “in one place after another pestilences
"Iyadyeri, wach me otundo i kare",Has this come true? Yes
" Two pal chuny jo, lihera, musuja, two twilo, kanyachiel gi two megi mopokere opokere otyeko neko ji gana gi gana"," Cancer, heart disease, tuberculosis, malaria, AIDS, and other diseases have killed millions of people"
Kech,A lack of food
" I piny gipi, nitye ji ma jongoye gi chiemo ma romo jo",Throughout the earth there are people who do not have enough food to eat
Ji gana gi gana jotho kech kis oro,Millions of people die of hunger every year
Me obedo ranyuth man ma miyo wan ŋeyo nike piny manyien chiegin tundo,This is another sign that the Paradise will soon be here
Baibul wacho ni: “Kec bino bedo,The Bible says: “There will be food shortages
 Yengirok pa piny. , Earthquakes.
Yengirok pa piny [bino bedo] i kabedo m’omore.”,“There will be . . . earthquakes in one place after another.” 
Gime bende timere pama. ,This also has come true in our time.
Yengirok pa piny otyeko neko ji ma kalo milion achiel wok i oro ma 1914., Over a million people have died in earthquakes since 1914.
Ji marecho. ,Wicked people. 
Ji jobino bedo “jomawor i pesa” kodi “joyumirok”,People would be “lovers of money” and “lovers of themselves.” 
 kendo “jobino maro kisangala ma piny loyo Were.”,And they would be “lovers of pleasures rather than lovers of God.” 
Aka nyithindho jobino bedo “joma kiwinji jonywol pajo.,Children would be “disobedient to parents.”
Ikiyey ni pama joma chalo ameno jonitye? ,Do you not agree that there are many people like that today?
"Jokiwor Were, kendo jodak joma fuonjere gima mako kwoŋ Were."," They have no respect for God, and they make trouble for those who try to learn about God."
Turo chik,Crime
“Tim mareco medere,There would also be an “increasing of lawlessness
Miti ibende ineno ni tim marecho omedere tektek konon,Likely you will agree that crime is worse than it was years ago
Kis kamoro ji jolworo kwalo jo kosa timo jo marach," People everywhere are at risk of being robbed, cheated, or harmed"
Gikipiny me jye nyutho ni Ker pa Were chiegin bino,All these things show that God’s Kingdom is near
" Baibul wacho ni: ‘Ka wineno gikipiny me timere, ŋeyi win ni Ker pa Were cegin bino"," The Bible says: “When you see these things occurring, know that the kingdom of God is near"
Ker pa Were a ginaŋo? ,What is the Kingdom of God? 
Obedo adhum pa Were ma polo ma bino loko piny me kabedo maŋon swa,It is God’s heavenly government that will bring Paradise to this earth
Ker pa Were bino kwanyo woko adhum pa ji nyaka won wochaki dhumo,God’s Kingdom will replace human governments
"Gikipiny mareco ocako nedi, aka raŋo Were oweyo gikipiny mareco tundo pama? ","How did evil begin, and why has God allowed it to continue? "
Candirok orumi?,Will there ever be an end to suffering?
Jehova koyey jomarecho nyieko piny manyien,Jehovah will not allow bad people to ruin Paradise
Merin pa Were kende ama jolebedo i piny manyien,Only his friends will live there
" Were letimo nedi jomarecho? Nyalo dwoko penji no, par kwoŋ gimobedo i ndir pa Nowa"," What will happen to bad people? To learn the answer, consider the true story of Noah"
Nowa obedo i piny ka chango chon,Noah lived thousands of years ago
Go obedo dhano maber aka otemo paka nyalo timo gima Jehova yenyo,He was a good man who always tried hard to do Jehovah’s will
" Kuchiel, joman moido jobedo i piny i ndir no, oido jotimo gikipiny marecho",But the other people on earth did bad things
" Ri ameno, Jehova owacho ri Nowa ni oido kidho kelo mikula woreyi woko jomarecho",So Jehovah told Noah that He was going to bring a flood to destroy all those wicked people
Owacho ri Nowa geto yee ma botho go kanyachiel gi jopecho pere ka Mikula obino,He told Noah to build an ark so that he and his family would not die when the Flood came
Nowa kodi jopecho pere jogeto yee.,Noah and his family built the ark. 
" Nowa owacho ri ji kwoŋ mikula moido kidho bino, to jokowinjo go.","Noah warned people that the Flood was coming, but they did not listen to him."
 Jomedere ameda timo gikipiny marecho. ,They continued to do bad things. 
"Munyo geto yee orumo, Nowa orwak’iye ogwange, to go bende kanyachiel gi jopecho pere jodonjo i yee."," After the ark was finished, Noah took animals into the ark, and he and his family also went inside."
 Rumachien to Jehova kelo asur  madwoŋ swa. , Then Jehovah brought a great storm. 
Koth ochwe ndelo 40 wor g’odyechieŋ to umo piny gipi.,Rain fell for 40 days and 40 nights. The water flooded all the earth.​
"Jomarecho jotho, to Nowa kodi jopecho pere joboth","The wicked people lost their lives, but Noah and his family were saved"
Jehova obotho jo to jobedo i piny mongoy’iye recho moro jye,Jehovah brought them safely through the Flood into an earth cleansed of wickedness
Baibul wacho ni ndelo chiegin tundo ma doko Jehova lerey’iye woko joma kimiti timo gimaber,The Bible says that once again the time is coming when Jehovah will destroy those who refuse to do what is right
Ji mabeyo joleboth,Good people will not be destroyed
Jobino bedo i piny manyien chil gi chil,They will live forever on the Paradise earth
Konon joma thoth jotimo gikipiny marecho,Today many people do bad things
Piny opoŋ’iye teko,The world is full of trouble
" Kis ndelo, Jehova oro ji pere miyo ji rapiri, to joma thoth jokiwinji wach pa Jehova"," Jehovah sends his Witnesses again and again to warn the people, yet most do not want to listen to Jehovah’s words"
Jokimiti wiro kula pajo,They do not want to change their ways
Jokimiti yeyo gima Were wacho kwoŋ gimotire kodi gima kotire,They do not want to accept what God says about right and wrong
Were otimi aŋo ri jono?,What will happen to these people? 
 Jowiri kula pajo? ,Will they change someday? 
Joma thoth jokowiri kula pajo,Many will never change
Ndelo chiegin tundo worey woko jomarecho kichutho ma doko jokobedi i piny ka,The time is coming when wicked people will be destroyed and will never live again
Were korey woko piny me; to bino loko manyien ayino,The earth will not be destroyed; it will be made into a paradise
Merin pa Were jobino bedo i piny ka chil gi chil,Those who become God’s friends will live forever in the Paradise on earth
Jakwor pa Were madwoŋ a Sitan,God’s chief enemy is Satan the Devil
Go obedo chwech ma chuny mochayo Were,He is a spirit creature who rebelled against Jehovah
Sitan fuodi medere pyemo gi Were kanyachiel gi kelo ri ji teko,Satan continues to fight against God and causes great trouble for humans
Sitan rach,Satan is evil
Go jatwodo kendo janek,He is a liar and a murderer
Jomalaika megi bende jomakere gi Sitan to jochayo Were,Other spirit creatures joined Satan in his rebellion against God
Baibul lwoŋo jo ni jwogi,The Bible calls them demons
" Paka Sitan, jwogi bende jokwor pa ji"," Like Satan, the demons are enemies of humans"
Jomito swa kelo ri ji litho,They like to hurt people
Jehova bino reyo woko Sitan kodi jwogi pere kichutho,Jehovah will destroy Satan and his demons forever
Jodoŋ gi nyaka hongo machiek ma chando ji,They have only a short time left to make trouble for humans
"Ka imito bedo mere pa Were, ikiripi timo gima Sitan mito ni itimi","If you want to be God’s friend, you must not do what Satan wants you to do"
Sitan kodi jwogi jodak Jehova,Satan and the demons hate Jehovah
" Jobedo jokwor pa Were, aka jomito ni ibende ibedi jakwor pa Were"," They are enemies of God, and they want to make you an enemy of God"
Iripo yero ŋata imito kisangala​—Sitan kosa Jehova,You must choose whom you want to please​—Satan or Jehovah
" Ka imito kwo makirum, iripo timo gima Were yenyo"," If you want everlasting life, you must choose to do God’s will"
Sitan ni gi ryeko kodi nger mopokere opokere ma wondo gine ji,Satan has many tricks and ways to deceive people
Go otyeko miŋo ji makweth,Most people are being fooled by him
"Yesu Kristo obedo Nyathi pa Jehova, kendo mere pere maloyo. ","Jesus Christ is Jehovah’s Son and his closest, dearest friend"
"Munyo fuodi kobino i piny ka, Yesu oido bedo i polo paka chwech ma chuny majameni. "," Before he lived as a man on earth, Jesus lived in heaven as a mighty spirit creature"
"Rumachien, go obino i piny ka to fuonjo ji adyeri ma mako kwoŋ Were.",Then he came to earth to teach people the truth about God
Kendo omiyo kwo pere wonyal botho ji kwoŋ gimarach kodi tho.,He also gave his human life to save obedient humans from sin and death
"Onyo pama Yesu amobedo Kere ma Ker pa Were, adhum ma polo ma bino loko piny me kabedo maber swa.","Jesus is now the King of God’s Kingdom, a heavenly government that will bring Paradise to this earth"
Jomalaika bende merin pa Were,The angels are also God’s friends. 
Jomalaika jokobedo ji ma chango jobedoye i piny to jotho,The angels did not begin their lives as humans on earth.
Were ochweyo jo chango chon munyo fuodi kochweyo kir piny, They were created in heaven before God made the earth. 
Nitye jomalaika gana gi gana,There are millions of angels.
Merin pa Were me ma jobedo i polo jomito ni ji jowofuonjere adyeri ma mako kwoŋ Were,These heavenly friends of God want people to learn the truth about Jehovah
Were ni gi merin pere i piny ka; go lwoŋo jo ni Wajulizi pere. ,God also has friends on the earth; he calls them his witnesses. 
Mujulizi i koti luwo gima mako kwoŋ dhano pere.,A witness in court tells what he knows about someone or something. 
Wajulizi pa Jehova bende jowacho ri ji gima mako kwoŋ Jehova kanyachiel kodi atoŋa pere. ,Jehovah’s Witnesses tell others what they know about Jehovah and his purpose. 
"Paka jomalaika, Wajulizi pa Jehova jomito konyin ifuonjere gima mako kwoŋ Jehova."," Like the angels, the Witnesses want to help you learn the truth about Jehovah. "
 Jomito ni ibende ibedi mere pa Were.,They want you to be God’s friend too.
"Ka imito bedo mere pa Were, iripo lamo go i nger motire. ","If you want to be a friend of God, you must practice the religion that God approves."
Yesu owacho ni joma lamo Were i royo motire jobino lamo go “iy’adieri.” ,Jesus said that “the true worshipers” would worship God in harmony with “truth.” 
Nitye royo achiel kende motire ma lam’iye Were.,There is only one correct way to worship God.
"Din maradyeri tero jo i kwo makirum, aka din matwodo tero jo i reyirok","True religion leads to everlasting life, and false religion leads to destruction.​"
Inyalo ŋeyo din maradyeri ka ineno tim pa joma nitye i din no.,You can recognize true religion by watching the people who practice it
" Kwoŋbedo ni Jehova ber, joma lamo go iyadyeri bende joripo bedo ji mabeyo."," Since Jehovah is good, those who are his true worshipers must be good people"
"Paka tyendi muchungwa maber nyak muchungwa mabeyo, apaka din maradyeri bende bed’iye ji mabeyo.​"," Just as a good orange tree produces fine oranges, the true religion produces fine people"
Merin pa Jehova joworo Baibul,Jehovah’s friends have deep respect for the Bible. 
Joŋeyo nike Baibul obedo wach pa Were,They know that the Bible is from God. 
" Jooro gima Baibul wacho i kwo pajo, i chowo teko pajo, kodi konyo jo fuonjirok gima mako kwoŋ Were","They allow what it says to guide their lives, to solve their problems, and to help them learn about God."
Jotemo ketho gikipiny ma jofuonjo i tim,They try to practice what they preach.
Merin pa Jehova jomarere.,Jehovah’s friends show love for one another. 
"Rupiri Yesu onyutho ji mar, ofuonjo jo gima mako  kwoŋ Were, kodi botho jo two."," Jesus showed love for people by teaching them about God, by curing those who were sick. "
Joma nitye i din maradyeri bende jomaro ji. ,Those who practice the true religion also show love to others.
"Paka Yesu, jokichay jochandi kosa joma jokobedo jonono pajo."," Like Jesus, they do not look down on those who are poor or are of a different ethnic group."
 Yesu owacho ni ji di joŋeyo jofuonjirok pere chungo kwoŋ mar ma joni gine i dyer jo., Jesus said that people would know his disciples by the love they show for one another
"Merin pa Were joworo nyingi Were, Jehova.","God’s friends honor God’s name, Jehovah. "
 Adyeri dhano nyalo bedo mere perin ka okwero oro nyingin?,"If someone refused to use your name, would that person be your close friend?"
" Be! Ka wani gi mere mawan, waoro nyinge aka wawacho ri joman gikipiny mabeyo ma mako kwoŋ mere mawan no.","No! When we have a friend, we use his name and we say good things about that friend to others."
" Ri ameno, joma mito bedo merin pa Were joripo oro nyinge kendo to jowacho ri joman gima mako kwoŋ go.",So those who wish to be God’s friends should use his name and talk about him to others
 Jehova mito ni watimi ameno.​,Jehovah wants us to do that.​
"Paka Yesu chango otimo, merin pa Were jofuonjo ji kwoŋ Ker pa Were. ","Like Jesus, God’s friends teach people about God’s Kingdom"
Ker pa Were obedo adhum ma polo ma bino loko piny me kabedo maŋon swa.,God’s Kingdom is the heavenly government that will make the earth a paradise
 Merin pa Were jowacho ri ji wach maber me ma mako kwoŋ Ker pa Were.,God’s friends share this good news about God’s Kingdom with others
Wajulizi pa Jehova jotemo paka jonyalo bedo merin pa Were,Jehovah’s Witnesses try to be friends of God.
Joworo Baibul aka jomarere,They respect the Bible and have love among themselves. 
Jooro kendo joworo nyingi Were aka jofuonjo ji gima mako kwoŋ Ker pa Were,They also use and honor God’s name and teach others about God’s Kingdom. 
Wajulizi pa Jehova ama jonitye i din maradyeri,Jehovah’s Witnesses practice the true religion on earth today.
Saitan kodi jwogi pere jokimiti ni ilami Were. ,Satan and his demons do not want you to serve God.
Jokimiti dhano moro jye wodoŋi yu thenge pa Were.,They want to turn everyone away from God if they can.
Jooro ryeko mene?,How do they try to do this? 
"Achiel kwoŋ gikipiny ma jooro, a din matwodo.",One way is through false religion.
"Ka din kifuonji adyeri mawok i Baibul, bedo din matwodo. ",A religion is false if it does not teach the truth from the Bible.
Din matwodo chale gi pesa mochwogi achwoga., False religion is like false money​
" Nyalo neno pa pesa motire, to kibedi gi kony. ","It may look like the real thing, but it is worthless."
Pesa ma chalo ameno nyalo kelo rin teko madwoŋ swa., It can cause you much trouble.
"Fuonji matwodo kinyal kisangala Jehova, Were maradyeri","Religious falsehood can never please Jehovah, the God of truth"
" Munyo Yesu nitye i piny ka, oido nitye kitipa ma din moido mito neko go"," When Jesus was on earth, there was a religious group who wanted to kill him"
Oido joparo ni din pajo amotire,They thought that their way of worship was the right way
" Jowacho ni: “Wanitie gi Bawan acel kende, Were won gipi"," They said: “We have one Father, God"
” Yesu oyeyere gi jo?,” Did Jesus agree? 
" Be! Owacho ri jo ni: “Wibedo nyithindho pa bawin, jwogi""","No! He said to them: “You are from your father the Devil"""
" Konon, joma thoth joparo ni jolamo Were, kareno iyadyeri,  jolamo Sitan kodi jwogi pere!​","Today many people think that they are worshiping God, but they are really serving Satan and his demons!"
"Paka yath marach nyak gimarach, apaka din matwodo bende bed’iye ji marecho","Just as a rotten tree produces bad fruit, false religion produces people who do bad things"
Piny opoŋ’iye teko rupiri ji jotimo gikipiny marecho,The world is full of trouble because of the bad things people do
" Nitye lweny, kwo, chandirok, nek, kodi mako mon"," There is immorality, fighting, stealing, oppression, murder, and rape"
" Joma thoth ma jotimo gikipiny me jo ni gi din, to din pajo kifuonji jo timo gimaber"," Many who do these bad things have a religion, but their religion does not move them to practice what is good"
" Ka jokoweyo ameno timo gikipiny marecho, jokinyal bedo merin pa Were",They cannot be God’s friends unless they stop doing bad things
Din matwodo fuonjo ji lamo chal.,False religion teaches people to pray to idols. 
 Were chiero wan lamo chal.,God says not to pray to idols. 
 Par kwoŋ gime. ,This is reasonable. 
Inyalo fuoyo ka dhano okwero luwo kodin to luwo gi picha perin ayino? ,Would you like it if someone never talked to you but only talked to your picture? 
Ŋato nyalo bedo mere perin?,Could that person be your true friend? 
" Be, kinyal. ","No, he could not. "
"Jehova mito ni waluwi gi go ayino, ma kiweno gi picha kosa chal, mongoye gi kwo.","Jehovah wants people to talk to him, not to a statue or a picture, which has no life"
Din matwodo fuonjo ni neko ji i lweny kobedo gimarach,False religion teaches that it is all right to kill others in time of war
Yesu ofuonjo ni merin pa Were joripo marere,Jesus said that God’s friends would have love among themselves
Wakinyal neko ji ma wamaro,We do not kill people we love
 Kada neko jomarecho obedo gimarach,It is even wrong for us to kill bad people
" Munyo jokwor pa Yesu jobino mako go, Yesu ochiero jofuonjirok pere lwenyo"," When the enemies of Jesus came to arrest him, he did not let his disciples fight to protect him"
Din matwodo fuonjo ni Were waŋo ji i mach makitho,False religion teaches that the wicked will suffer in hellfire
" Kuchiel, Baibul fuonjo ni: “Kemba pa gimarach obedo tho"," Yet, the Bible teaches that sin leads to death"
 Jehova obedo Were majamar,Jehovah is a God of love
 Were majamar nyalo waŋo ji i mach makitho?, Would a loving God torment people forever? 
 Be! ,Of course not!
"Din achiel kende ma Jehova yeyere gine, ama bino bedo i piny manyien","In Paradise, there will be only one religion, the one that Jehovah approves"
Din moro jye ma fuonjo twodo pa Sitan ibino reyo woko,All religions based on Satan’s lies will be gone
Nitie din acel kende mar’adieri? Neni gikipiny abic manyutho din mar’adieri,Is there only one true religion? Consider five identifying marks of true worship
Ka dhano otho kwo pere rumo kichutho,Death is the opposite of life
Tho chale gi nindo,Death is like a deep sleep
"Jomotho jokinyal winjo, neno, luwo, kosa paro","The dead are unable to hear, see, speak, or think anything"
Din matwodo fuonjo ni jomotho jolokere jwogi to jokidho bedo kanyachiel gi ji pajo ma chango jotho,False religion teaches that the dead go to a spirit world to live with their ancestors
Baibul kifuonji ameno,That is not what the Bible teaches
"Jomotho jokinyal konyo wan, kendo jokinyal chando wan","Those who have died cannot help us, and they cannot harm us"
Ji jomaro chowere munyo joparo nike jonyalo kisangala jomotho,It is common for people to perform rituals and sacrifices that they believe will please those who have died
Were kimiti ni wachowere rupiri meno obedo twodo pa Sitan,This is displeasing to God because it is based on one of Satan’s lies
" Aka jomotho jokinyal kisangala, rupiri jongoye gi kwo"," It cannot please the dead either, since they are lifeless"
Wakiripi lworo kosa lamo jomotho,We should not fear or worship the dead
Waripo lamo Were kende,We should worship only God
Jomotho jobino chierino,The dead will live again
Jehova bino chierino jomotho jowobedi i piny manyien,Jehovah will awaken the dead to life on a paradise earth
Hongo no fuodi kotundo,That time is yet future
"Paka inyalo chewo dhano ma nindo, apaka Were bende nyalo chewo jomotho",God can awaken those who have died just as surely as you can awaken a person from sleep
Fuonji ma nyutho ni wakitho kichutho wok bongi Sitan,The idea that we do not die is a lie spread by Satan the Devil
Sitan kodi jwogi pere jomiyo ji paro nike chuny pa jomotho fuodi kwo aka ni kelo ri ji two kodi teko mopokere opokere,Satan and his demons make people think that spirits of the dead are alive and cause sickness and other problems
Ruman Sitan wondo ji munyo luwo i lek kodi menyirok," Satan deceives people, at times through dreams and visions"
Jehova kimiti ni watem luwo kodi jomotho,Jehovah condemns those who try to talk to the dead
Jom’otho jokwo? ,What happens to us when we die? 
Jom’otho jonyalo kwo kendo?,Will we ever see our dead loved ones again?
Sitan mito ni ithyedhi.,Satan wants you to practice magic.
Joma thoth jochowere ri ji pajo ma chango jotho nike jowonyali geŋo kwo pajo kwoŋ teko. ,Many make sacrifices to ancestors or spirits to protect themselves from harm. 
Jotimo ameno rupiri jolworo jomotho.,They do this because they fear the powers of the spirit world.
"Joruko aminda, tiko, kodi gagino. ",They wear magical rings or bracelets. 
