Adhola,English
Jo donjo i ndelo pa jager,They ran onto a neighbour’s farm
Won ndelo omako nge gi Odongo,"

The farmer was angry with Odongo"
Obwoko go ni ladoŋ gi dhoki rupir jo camo cemo pere,He threatened to keep the cows for eating his crops
Wok ndelo no Odongo ogwoko dhoki timo banja kendo," After that day, the boy made sure that the cows did not get into trouble again"
Ndelo man nyithindho jokidho i kisiya gi adha jo,"On another day, the children went to the marketplace with Nyajaruya"
" Go oyido nitie gi kitandilo m’atana iye fufa, sukari gi sabuni"," She had a stall selling vegetables, sugar and soap"
Apiyo omaro waco ri jonyew welo ma gigipiny,"

Apiyo liked to tell customers the price of items"
Odongo oyido tweyo gigipiny m’otiek nyewo,Odongo would pack the items that customers bought
I cowe mere jo madho cai kanyacel,At the end of the day they drank chai tea together
Jo konyo adha jo gi kwano pesa m’olimo,They helped grandmother to count the money she earned
Mayot yot ywomirok orumo aka oripo ni nyithindho no jo wodoki i tindi pa jo,But too soon the holidays were over and the children had to go back to the city
Nyajaruwa omiyo Odongo junga to miyo Apiyo sweta,"

Nyajaruya gave Odongo a cap and Apiyo a sweater"
Otweyo ri jo kit cemo ma camo iyo,She packed food for their journey
"Munyo ba jo obino omo jo, oyido jo kumito dok","When their father came to fetch them, they did not want to leave"
Nyithindho jo kwayo adha jo dok gi jo i tindi madwoŋ,The children begged Nyajaruya to go with them to the city
" Obwonjo to waco ni, ""Asa ti ma kidho i tindi madwoŋ""","

She smiled and said, ""I am too old for the city"""
Alabedo ka akur win bino thurin kendo,I will be waiting for you to come to my village again
Odongo gi Apiyo jopodho i kor adha jo ma joridho matek aka jo sewila go,Odongo and Apiyo both hugged her tightly and said goodbye
Munyo Odongo gi Apiyo jo dok i sikulu jo lyesaÂ ri wadi gin kwoŋ kwo ma calo,When Odongo and Apiyo went back to school they told their friends about life in the village
Nyithindho megi jo paro ni kwo ma tindi ber,Some children felt that life in the city was good
Megi jo paro ni calo ber loyo,Others felt that the village was better
To mâ€™oloyo aloya swa kis dhano oyeyo ni Odongo gi Apiyo jo nitie gi adha jo maber mâ€™oasere!,"

But most of all, everyone agreed that Odongo and Apiyo had a wonderful grandmother!"
Gweno Kodi Ongongolo,Chicken and Millipede
Gweno kodi Ongongolo oyido mere,Chicken and Millipede were friends
To oyido ju tere pyemo gi achieli kwong jo,But they were always competing with each other
Ndelo achieli ju yiko tuko mupira nyaka juneni jatuko maberi,One day they decided to play football to see who the best player was
Jukadho ikisawe toju chako tuko pajo,They went to the football field and started their game
Gweno oyido ni piyopiyo to Ongongolo oyido nipiyo swa,"Chicken was fast, but Millipede was faster"
Gweno ogeyo mupira bori to Ongongolo ogweyo bori swa,"Chicken kicked far, but Millipede kicked further"
Gweno to chako winjo nywowiroki,Chicken started to feel grumpy
Juyiko tuko makitewa neno ngata oloyi,They decided to play a penalty shoot-out
Ongongolo obedo jamaki gole,First Millipede was goal keeper
Gweno otewa gole achieli,Chicken scored only one goal
Nyo totundo sawa pa Gweno ma makuro gole,Then it was the chicken’s turn to defend the goal
Ongongolo ogweyo mupira totewa,Millipede kicked the ball and scored
Ongongolo oketa mupira totewa,Millipede dribbled the ball and scored
Ongongolo ogoyo mupira giwiye totewa,Millipede headed the ball and scored
Ongongolo otewa gole abich!,Millipede scored five goals
Gweno omako nge ni go ofiriwa,Chicken was furious that she lost
Go oyido obedo jakifiriwa marachi swa,She was a very bad loser
Ongongolo ochako nyero rupiri mere pere oyido timo ginyero,Millipede started laughing because his friend was making such a fuss
Gweno omako nge to yawo dhoke malachi swa to mwonyo Ongongolo,Chicken was so angry that she opened her beak wide and swallowed the millipede
"Munyo Gweno oyido doki pecho, go oromo gi yoki Ongongolo","As Chicken was walking home, she met Mother Millipede"
Yoki Ongongolo openjo ni ineno ye nyathi parani? ," Mother Millipede asked, ""Have you seen my child?"""
Gweno ku wacho gimoro jye,Chicken didn’t say anything
Yoki Ongongolo obedo gi rembo,"

Mother Millipede was worried"
Nyaka to yoki Ongongolo winjo dwondo jo mathini,Then Mother Millipede heard a tiny voice
Konyani Mama dwondi jo oywaki,â€œHelp me mom!â€ cried the voice
Yoki Ongongolo ongiyo thubongi go to winjo gi kikangasa swa,Mother Millipede looked around and listened carefully
Dwondi jo owoki iyii Gweno,The voice came from inside the chicken
"Yoki Ongongolo okoko, ori meni perini ma were omiyini nyathi paran! Ongongolo nyalo wotho ngweche marachi swa makibilere","Mother Millipede shouted, â€œUse your special power my child!â€ Millipedes can make a bad smell and a terrible taste"
Gweno ochako kichiroki pa two,Chicken began to feel ill
Gweno ochukere,Chicken burped
Nyaka to mwonyo gi ngulo, Then she swallowed and spat 
Nyaka to jiro gi wolo,Then she sneezed and coughed
Munyo owolo , And coughed
Ongongolo ochali pa oyido kimiti,The millipede was disgusting!
Gweno owolo nyuka owolo woko Ongongolo iyii go,Chicken coughed until she coughed out the millipede that was in her stomach
Yoki Ongongolo gi nyathi pere jurweta malo iwi yathi pondo,Mother Millipede and her child crawled up a tree to hide
"Woki isawa no, Gwendi kodi Ongongolini jubedo jukwori","From that time, chickens and millipedes were enemies"
Jo calo mawan jo jolo dhako no to doŋ both wan,My village people welcomed that woman and she remained with us.
"I dyer wor dhako no okoko ni, ""Nyathi! Eno nyathi wok""","In the middle of the night that woman shouts that, ""Child! Yes the child is coming out"""
Aneno dhano to akaŋasa go tek tek,I saw that woman and I analyzed her very well
Ji jo ŋweco kwoŋgo,People ran away from her
Jalo otiŋo go to dok gine peco pere,That man carried her and took her to his  home
Nyathi punda otiŋo jalo i gongo munyo otegino,A small donkey carried that man on its back when it grew mature.
Afoyo I Tiendi Yath ,The Rabbit under the Tree 
Afoyo oyido nindo i tiendi mutundwa,Rabbit was sleeping under an apple tree
Mutundwa acel opodho wok malo, An apple fell down from a branch
"Owinjo ka gimoro waco ni, “Ringi Afoyo, ringi!” ","A voice said, ""Run Rabbit run!"" "
Go ocew piyo piyo to ŋweco ma dwir,She woke up quickly and ran away with great speed.
Oromo gi gweno. ,She met Chicken. 
"To gweno penjo go ni, “I ringo aŋo?” ","""Why are you running?"" asked Chicken."
"Afoyo odwoko ni, “Akuya ran. "," Rabbit replied, ""I don't know."
"Awinjo awinja gimoro podho to gimoro waco ni, Ringi Afoyo ringi!“"," I just heard something falling and a voice said, 'Run Rabbit run!'"""
Gweno obwok. ,Chicken was frightened.
"To cako ŋwec munyo owinjo gima Afoyo owaco.
"," She started running when she heard what Rabbit said.
"
"Jo romo gi gwok. 
","They met Dog. 
"
"Gwok openjo ni, “Wiringo aŋo?“","Dog asked, ""Why are you running?"""
" Gweno owaco ni, “Akuya ran."""," Chicken said, ""I don't know.|"""
" Awinjo awinja gima Afoyo owaco, aka go bende kuya. "," I just heard what Rabbit said, and she doesn't know."
"Owinjo gimoro podho to gi moro waco ni, 'Ringi Afoyo ringi!'"," She heard something falling and a voice said, 'Run Rabbit run!'"
"Gwok odhier kwoŋ gima owinjo.
",Dog was surprised about what she heard. 
 To cako ŋwec gi afoyo kodi gweno.,She started running with Rabbit and Chicken.
"Jo romo gi Kayina. 
","They met Horse. 
"
"Kayina openjo Gwok ni, “Wiringo aŋo?“ ","Horse asked Dog, ""Why are you running?"" "
"Gwok odwoko ni, “Akuya ran.""","Dog said, ""I don't know. |"""
" Awinjo awinja gima gweno owaco, aka go bende kuya. ","I just heard what Chicken said, and she doesn't know. "
Owinjo gima afoyo owaco aka be kuya. ,She heard what Rabbit said and she doesn't know.
Kayina ocako ŋwec gi wadi no.,"Horse started to run with the others.
"
Joromo gi punda. ,They met Donkey.
"Punda openjo jo ni, “Wiringo aŋo?“ "," Donkey asked, ""Why are you running?"" "
"Kayina odwoko ni, “Akuya ran.","Horse replied, ""I don't know."
" Awinjo awinja gima Gwok owaco, aka go bende kuya."," I just heard what Dog said, and he doesn't know."
 Owinjo gima Gweno owaco aka bende kuya. , He heard what Chicken said and she doesn't know.
"Owinjo gima Afoyo owaco, aka go bende kuya. ", She heard what Rabbit said and she doesn't know. 
Gi kenyo Punda bende ocako ŋwec.,So Donkey starts running too.
Joromo gi Dhiaŋ. ,They met Cow. 
"Dhiaŋ openjo jo ni, “Wiringo aŋo?“ 
","Cow asked, ""Why are you running?"""
"Punda odwoko ni, “Akuya ran. "," Donkey replied, ""I don't know."
"Awinjo awinja gima Kayina owaco, aka go bende kuya. "," I just heard what Horse said, and she doesn't know."
Owinjo gima Gwok owaco aka bende kuya. , She heard what Dog said and he doesn't know. 
Cuny Dhiaŋ opodho to bende cako ŋwec.,Cow was worried and starte to run as well.
Joromo gi Pus. ,They met Cat.
"Pus openjo jo ni, “Wi ringo aŋo?“ "," Cat asked, ""Why are you running?"" "
"Dhiaŋ odwoko ni, “Akuya ran. ""","Cow replied, ""I don't know."""
"Awinjo awinja gima Punda owaco, aka go bende kuya. ","I just heard what Donkey said, and he doesn't know. "
"Owinjo gima Kayina owaco, aka go bende kuya.",He heard what Horse said and she doesn't know. 
Pus bende ocako ŋwec gi ogwange no.,"Cat started running with the other animals.
"
"Jo romo gi nyath ma nyiyac ma gweyo gal to penjo jo ni, “Wi ringo aŋo?“ 
","Then they met the boy riding the bicycle and he asked, ""Why are you running?''"
"To ogwange jodwokoi ni, “Wakuya ri wan. """," And the animals replied, ""We don't know. """
"Wawinjo gima Afoyo owaco, aka go bende kuya. ",We heard what Rabbit said and she doesn't know. 
"Nyiyac no onyero to waco ni, “Koyo oredho mutundwa. ""","The boy laughed and said, ""An apple fell off the tree because of the wind.""
"
"To aŋata awaco ni Ringi Afoyo ringi.
"," I'm the one who said, 'Run Rabbit run!'"
"Amaro kisoma.
","I like to read.
"
"Nga manyalo kisoma?
","Who can I read to?
"
Nyamerani nindo.,My sister is asleep
"Mama parani kodi athatha ju ngoye gi sawa.
","My mother and grandmother are busy.
"
"My father and grandfather are busy.
","Baba paran kodi kwara ju ngoye gi sawa.
"
 I can read to myself!,"Asoma ri awoni!
"
Who can I read to? ,ŋa  ma ani anyalo kisoma rigo?
Kere mupongi gwoki mathini ,Fat King Thin Dog 
Me kere mupongi.,This is a fat king.
Kere mupongi pere gwoki  mathini,The fat king has a thin dog.
Kere mupongi kodi gwoki pere mathini ju kadho wothi., The fat king and his thin dog go for a walk.
Gwoki oneno winyo,The dog sees a bird. 
Gwoki ngwecho kaluwo winyo.,The dog runs after the bird.
Kere reimo gwoki,The king runs after the dog.
To ju ngwecho angwecha ,They run and run. 
To ju ngwecho angwecha ma ndelo muromo.,They run and run for many days.
Kere tomako gwoki.,The king catches the dog.
Nyo same kere mupongi nyo thini,Now the fat king is thin.
Amito meno! ,I Want That One! 
Obedo ndelo ma ywomirok ri Amma.,"It was a holiday for Amma. 
"
 Go oyido soma kitabo. ,She was reading a book. 
Anil oywomere bende. ,Anil had a holiday too. 
Goyido mito timo .... gimoro! ,He wanted to do.... SOMETHING! 
"Anil owacho ni' Amma, amito neno gima nitye ibokisi manya bululu no'. ","“Amma, I want to see what is in that blue box!” said Anil."
Amma owacho ni 'Anil choni'.," “Later, Anil,” said Amma."
Anil oketho situli iwi komi.,Anil put a stool over a chair. 
 Go oyidho malo kwanyo bokisi agoni pinyi. ,He climbed up to get the box down. 
"Amma owacho ni'Anil, beee beee! kimeno! bokisere jye jula podho iwiyi wani!'","“No, no! Not that one! All the boxes on top of that will fall on our heads, Anil!” said Amma."
Anil omako nge swa.,Anil was very angry. 
 Goyido omako nge gi mini.,He was angry with his mother.
"Amma owacho ni,' biye wadhi ikatale anwangi rini gimoro'.","“Come, let’s go to the market and get you something,” said Amma."
"Anil odongi mumako nge kiri munyo ju kadho ikatale. 
",Anil was very angry even after they went to the market. 
"Go owacho ni, 'amito meno,' munyo go kimo muchungwa. ","“I want that one!” he said, pointing at an orange."
"Jakitana duka owacho ni,' beee beee kimeno! muchungwini jula podho pinyi."," “No, no, not that one! The fruits will all fall down!” said the shopkeeper."
"Anil owacho ni,' amito kitabo no'.
",“I want that book!” said Anil. 
 Jakitana duka owacho ni ' beee beee kimeno',"“No, no, not that one!” said the shopkeeper."
teri me'.,“Take this one.”
"Anil okoko ni,""amito meno"" noki oywayi sumbusa malo iki kitandalo.","“I want that one!” shouted Anil, almost pulling out a samosa from a high stack of samosas."
" Jakitana duka owacho ni,' beee beee kimeno achikini teteli. "," “No, no, not that one!” warned the shopkeeper."
Sumbusa parani jye jula podho ilowo!, All my samosas will fall to the ground!
"Anil oluwo malo swa, amito meno! ",“I want that one!” said Anil loudly. 
Go nyo same winjo marachi swa.,"He was now in a very, very bad mood. "
"Jakitana bumuli owacho ni,' beee beee kimeno!' ","“No, no, not that one!” said the flower seller. "
ikiri maki  jo!,Don’t touch them!
 jula neri., They will wilt.
"Onyo same, Anil oyido ywaki malo swa. ","By now, Anil was crying loudly. "
Kisi dhano moro jye oyido ngiyo Anil.,Everyone was looking at Anil.
Ityendi kitanda parani ,Under my bed
I chewi wori munyo awinjo riyo.,I wake up at night feeling thirsty.
 Amito nwango pii.," I want to get some water. 
"
" To achako rango sapato parani,",I start looking for my slippers under the bed.
Awi were parani!,Oh my God! 
 kworo nitye ityendi kitanda parani.,There is a tiger under my bed.
Nyo same atimi ango?,Now what should I do?
Alwongi mama?,Should I call Ma?
To ka kworo oywaki?, What if the tiger roars?
"Akadhi anindi? 
","Should I just go back to sleep? 
"
To kole nindo ongoye iwangani doko.,But I am not sleepy any more.
Kikenyo to  dhano ketho machi.,Then someone turns on the light.
 Mama ochungo idhioti., Ma is standing at the door.
ango mutimere amara parani,What happened dear?
"Mama openjo ni,' ilwongani?",Did you call me? asks Ma.
"To achimo yubongi kworo. 
",I point towards the tiger.
Mama ogungo to ywayo kworo woko woki ityendi kitanda!, Ma bends and pulls the tiger out from under the bed!
"Neni, me ki kworo.","Hey, this is no tiger. 
"
 me sweta parani manitye gi rangi ma nya tongeno muruwere gi macholi.,This is my thick yellow and black sweater. 
 Mapesini mere pilini pa wangi kworo.,Its buttons shine like a tiger's eyes.
Nyingi nyathi lyec oyido Golu.,The little elephant's name was Golu.
 Go oyido onginere pa bul, He was as round as a drum. 
Nyathi afwoyo oyido ilwongo ni Chhotu.,The little rabbit was called Chhotu
Go ochali pa mupira ma famba.,He looked like a ball of cotton.
Ju tuko kanyachieli.,"They played together. 
"
"Ndelo achieli, Golu owacho ni,' watuki tuko manyien kononi'.","One day, Golu said, “Let’s play a new game today.”"
 bedi pinyi.,You sit down.
" Chhotu owacho ni, 'Ala pye idyo ngeyini ka aayi dichieli'."," I’ll land on your back in one flying leap,” said Chhotu. 
"
 Golu obedo pinyi. ,Golu sat down.
Chottu okadho kama bori swa., Chhotu took a mighty leap.
Thump! opye idyongei Golu.,"Thump! He landed on Golu’s back. 
"
" Golu onyero towacho ni,' nyo safari paran.'","Golu  laughed and said, “My turn now. """
Bedi pinyi ala pye idyongeini'.,You sit down and I will leap on your back.”
Inii!,"“You!” 
"
" Eeeyiii, anii.","Yes, me. "
" Chottu openjo ni,' inyalo nedi timo ngino'.",“How can you do that?” asked Chhotu.
"Golu onyutho go ni,' amma'.","""Like this!"" Golu showed him."
Nazi kweth owki iwi Golu.,A shower of coconuts came down on Golu’s head.
Go ongwecho woko gi tyende mupongi gi bwoki.,"He ran away on fat legs, scared."
Nazi achieli mathini opodho iwi Chhotu.,One small coconut fell on Chhotu.
Sawa matuko,Playtime
Nyathi gwoki pa Ammu, Ammu's Puppy
Ammu oyido ongoye gi nyathi gwoki.,Ammu did not have a puppy.
 To go owacho ri kisi dhano isomero ni go nitye gine., But she told everyone in school that she did.
"Go owacho ri Venu ni, ""nyathi gwoki parani ilwongo ni Shankar"". ","""My puppy’s name is Shankar,"" she told Venu."
"Owacho ri Abdul ni, ""Shankar chamo malapi"". "," ""Shankar eats bananas,"" she told Abdul."
"Owacho ri Kumari ni, ""Shankar choli""."," ""Shankar is black,"" she told Kumari."
" Owacho ri Unni ni, Shankar tuko mupira kodani."""," ""Shankar plays ball with me,"" she told Unni."
"Onyo Venu, Abdul, Kumari kodi Unni to juwacho ri Ammu nike ju labino pecho.","So Venu, Abdul, Kumari, and Unni told Ammu that they would come home. 
"
 To ju neno Shankar.,To see Shankar.
 Ammu oyengo wiye., Ammu shook her head. 
ju penjo ni irango.  ,They asked why
Ammu owacho ni rupiri Shankar nigi bwoki ka oneno dwoli ji.," ""Because Shankar is scared of crowds,"" said Ammu. 
"
"Kumari to wacho ni ,""kale walatuko gi go kisi dhano achiele achiele"".","""Then we’ll play with him one by one,"" said Kumari."
"Ammu owacho ni, ""wiki nyali"". 
","""You can’t,"" Ammu said. 
"
"Unni openjo ni, ""irango"".","""Why?"" asked Unni. "
" Ammu owacho ni ,""ruprir wakadho wothi ye kononi.""","""Because we’re going out today,"" said Ammu."
"Abdul owacho ni ""nyo kale walabino dikini.""","""Then we’ll come tomorrow,"" said Abdul. 
"
" Venu owacho ni ""wala kelo rigo malapi."" ","""We’ll bring bananas for him,"" said Venu. "
"Kumari owacho ni ""wala tuko gi go ngata achiele achiele.""","""We’ll play with him one by one,"" said Kumari."
" Ammu owacho ni ""kale."""," ""Okay,"" said Ammu.  "
 Go ku ngeyo gira awacha mani., She didn’t know what else to say.
"Pinyin no, Ammu openjo Achan ka oyido nyalo nyewo rigo nyathi gwoki. 
","That evening, Ammu asked Achan if he would buy a puppy for her."
"Achan owacho ni, ""wala neno.""","""We’ll see,"" said Achan. "
" Ammu owacho ni,"" amito ma piyopiyo.""","""But it’s urgent,"" said Ammu."
 Achan onyero. , Achan laughed
Ammu kuchamo chiemo ma othieno.,Ammu didn’t eat dinner.
  Go obedo pa ngata two., She felt sick. 
Go kumito paro kwong dikini.,"She didn’t want to think about tomorrow.  
"
 Odikini, A fever!
"Amma owacho ni,"" dongi pecho.""","Stay at home today, Amma said."
 To Ammu keng kisoma., So Ammu skipped school. 
 Go onindo ikanindo ma ndelo gipi.,She lay in bed all day. 
 Go ku bwonjo kada. ,She didn’t smile at all.
Gima go ochamo obedo kitole ma mugati kende., All she ate was a slice of bread.
"cango, cango, yo loka Paracam obedo jal m'ilwoŋo ni Otoyo  ",Greedy Otoyo
"Cango, cango, yo loka Paracam obedo jal m'ilwoŋo ni Otoyo  ","A long time ago, in the village of Nyamani, there lived a man known as Otoyo"
Go omaro cemo swa,Otoyo liked to eat very much
Ma tektek mere go omaro camo riŋo,He especially liked to eat meat
"Ndir acel, rwoth ma loka no olwoŋo jo piny pere je kidho i kalima ma nywomirok pa wode","One day, the chief of the village invited all the villagers to his son's wedding"
Otoyo doko owinjo ka ji luwo kwoŋ kalima ma nywomirok man ma nitie loka ma ger m'ilwoŋo ni Paracuc,Then Otoyo heard people talking about another wedding party in a nearby village called Paracuc
" Otoyo oparo swa ni, “Kalima ario i ndelo acel!“",“Two parties on the same day!” Otoyo thought
"
Otoyo won oluwere ni, “Aripo bedo i kalima ario je.“","“I must attend both parties,” Otoyo said to himself "
“Kutho a le telo kidho Paracuc aka nyaka adwoki Paracam.,“I will first walk to Paracuc  and then come back to Nyamani.”
Otoyo omondo cew odikini to wotho kidho Paracuc ,Otoyo woke up early in the morning and walked to Paracuc  village
Munyo otundo oneno ni jotedo oyido nyaka jotedo,"When he arrived, he saw that the cooks were still preparing the food"
"To Otoyo yero ni, “A le gik cen Paracam aka anodwoki rumacen.“","“I will go back to Nyamani and return here later,” Otoyo decided"
Otoyo owotho dok Paracam munyo geno ni lanwaŋo riŋo ocek,Otoyo walked back to Nyamani hoping to find the meat ready
Kare no kec neko go,He was now hungry
To munyo otundo onwaŋo jono bende fodi jotedo cemo,"But when he arrived, people there were also still preparing the food"
"To Otoyo paro ni, “Munyo nende aay Paracuc oyido jocako tedo","
“When I left Paracuc  they were starting to cook,” he thought "
Ripo bedo ni cemo no otieko cek pama.“ ,“The food must be ready now.” 
Ameno Otoyo doko owotho to gik Paracuc,So Otoyo walked back to Paracuc 
Kec oyido nyo neko go maa,He was now very hungry
"Munyo Otoyo otundo Paracuc kendo, ji oyido jocowo cemo","By the time Otoyo got to Paracuc , people had already eaten"
Wendo yido jomiyo mweha gi jamweha mic,Guests were giving presents to the bride and the groom
Otoyo kobedo gi mic ma omiy,Otoyo did not have a gift to give
Oyido go omito cemo kende,He only wanted to eat
Otoyo owinjo malith swa nwaŋo ni okeŋ cemo,Otoyo was most disappointed about missing the food
Owire gik yu Paracam,He decided to walk back to Nyamani village
