Adhola,English
Baibul waco ni tho obino i piny luwo kwoŋ Adam.,"According to the Bible, death “entered” the world of mankind through Adam. "
"Ri ameno, Adam am’okelo ri nyikwaye je gimarac kodi tho. ","Thus, Adam passed on  to all his descendants sin and its penalty, death. "
Cul mitere nyaka wabothi tho ma walunjo wok kwoŋ Adam.​, We need a ransom to release us from the penalty of death that we inherited from Adam.​
Oyido ŋa manyalo culo ri wan cul no to botho wan tho?,Who could pay the ransom to free us from death?
  Ka watho waculo reco mawan kende. ," When we die, we pay the penalty only for our own sins. "
Ongoye dhano manyalo culo reco pa joman rupiri ji je joni gi reco.​,No imperfect man can pay for the sins of others.​
"Pokirok kwoŋ wan, Yesu oyido ongoye gi reco.","Unlike us, Jesus was perfect."
"Ri ameno, go oyido kiripere tho rupiri ongoye gimoro je marac ma go otimo.","So he did not need to die for his sins​, he never committed any. "
Yesu otho ri reco pa joman. ,"Instead, Jesus died for the sins of others. "
Were onyutho wan mar munyo odhiro Wode tho ri wan. , God expressed extraordinary love for mankind by sending his Son to die for us.
 Yesu bende onyutho wan mar munyo owinjo Bamere toyeyo tho ri reco mawan.​, Jesus also showed love for us by obeying his Father and giving his life for our sins.​
Neni vidiyo Raŋo Yesu Otho?,Watch the video Why Did Jesus Die?
"Munyo Yesu fodi nitie i piny ka, go obotho jotwo, ocerino jom’otho, kendo okonyo ji m’oyido joni gi teko m’opokere opokere. ","When on earth, Jesus cured the sick, raised the dead, and rescued people in peril. "
"Ameno Yesu onyutho gikipiny ma go latimo i hongo mabino, ri joma timo gima Were mito. ",He thereby demonstrated what he will do in the future for all obedient mankind.
" Munyo Yesu otho, Were ocerino go i kwo ma cuny. "," After Jesus died, God restored him to life as a spirit person. "
"(1 Petero 3:18) Rumacen, Yesu ogiki i polo to bedo yu cingi Were maracuc to kuro Were miyo go dhum ma piny gipi. ",(1 Peter 3:18) Jesus then waited at God’s right hand until Jehovah gave him power to rule as King over all the earth. 
"(Joebulaniya 10:12, 13) Pama Yesu dhumo paka Kere i polo, aka jofonjirok pere jofonjo ji wac maber me i piny gipi.","(Hebrews 10:12, 13) Now Jesus is ruling as King in heaven, and his followers are announcing that good news worldwide.​"
Yesu cegin oro meni pere paka Kere wokwany woko candirok je kodi jono majokelo ri wadi gin candirok. ,"Soon, Jesus will use his power as King to bring an end to all suffering and to those who cause it."
Jono je majoketho yeyo pajo i Yesu to jotimo gima go mito jobino limo kwo makirum i piny, All who exercise faith in Jesus by obeying him will enjoy life in a paradise on earth
1. Raŋo Were ocweyo piny?,1. Why did God create the earth?
2. Raŋo pama piny k’obedo paka cango Were omito ni wobedi?,2. Why is the earth not a paradise now?
3. Were oloki nedi piny me kabedo maber?,3. How will Paradise be restored?
4. Candirok orumi keraŋo?,4. When will suffering end?
5. Jomene ma jolabedo i piny manyen?,5. Who will live in the future Paradise?
Jehova ocweyo piny me t’omiyo ji. ,Jehovah gave the earth to men and women.
Me a peco mawan. ,It is our home.
"Ri ameno, ji ario ma Were otelo cweyo, Adam gi Eva, k’ocwey jo bedo i polo.","Therefore, the first human couple, Adam and Eve, were not created to populate the heavens​"
 Were oyido otieko cweyo jomalaika bedo i polo. ,God had already created angels to live in heaven.
"Munyo Were otieko cweyo Adam, dhano m’otelo, oketho go i ndelo ma Eden.","Rather, God took the first man and settled him in a delightful paradise called the garden of Eden. "
Jehova omito ni Adam kodi nyithindho pere jowobedi i piny ka cil gi cil.,Jehovah gave him and his future offspring the prospect of enjoying life without end on earth.
"I cakirok, ndelo ma Eden kende ama oyido kabedo maŋon. ","Originally, only the garden of Eden was a paradise. "
Adam kodi Eva oyido joripo nywolo nyithindho ji jowopoŋi piny gipi. ,The first human couple were to fill the earth with their offspring. 
"Rumacen, piny gipi d’olokere kabedo maŋon. ","In time, they were to subdue the entire globe and make it a paradise."
Were kilareyo woko piny. ,The earth will never be destroyed. 
Piny lamedere bed’iye ji.​,It will always be mankind’s home.​
Adam gi Eva jocayo Were to jotimo gimarac to Were riemo jo i Eden.,"Adam and Eve disobeyed God, so Jehovah put them out of the garden."
"Jokeŋ piny maŋon ma Were oyido omiyo jo, aka ongoye dhano moro je manyalo yiko piny me. ","Paradise was lost, and no man has succeeded in restoring it."
 Baibul waco ni: “Were otieko miyo piny i cingi jokidakana.”,  The Bible says: “The earth has been handed over to the wicked.”​
Onyo wawaci ni atoŋa ma Jehova oyido ni gine ri ji odhiero go?,Has Jehovah abandoned his original purpose for mankind? 
"Be, Rupiri go obedo Were Majameni Je, ongoye gima nyalo dhiero go.","No, He is almighty, He cannot fail."
"Were bino loko piny me kabedo maber ri ji, paka atoŋa pere obedo wok i cakirok.",He will restore the human race to the way he meant it to be
"Ka Yesu ocako dhumo piny, odoko piny lalokere kabedo maber.",Paradise will be restored on earth during Jesus’ rule as God’s King.
"I lweny m’ilwoŋo ni Amagedon, Yesu bino telo jomalaika pa Were joworeyi woko ji je ma jokwero timo gima  Were mito.","In a battle called Armageddon, Jesus will lead  God’s angels and destroy all who oppose God."
"Rumacen, Yesu latweyo Sitan oro 1,000."," Then Jesus will imprison Satan for 1,000 years. "
Ji pa Were jolaboth rupiri Yesu lakuro jo. ,God’s people will survive the destruction because Jesus will guide and protect them.
Jolalimo kwo makirum i piny manyen.​, They will enjoy everlasting life in Paradise on earth.​
Were okwany woko keraŋo gikipiny mareco i piny? ,When will God bring an end to evil on earth?
Yesu omiyo wan ranyuth makonyo wan ŋeyo ni gik piny cegin tundo.,Jesus gave a “sign” to indicate when the end would be near.
 Gikipiny mareco matimere i piny pama kelo ri ji candirok madit swa. ,Present world conditions threaten man’s survival 
"Kuceli, gikipiny no nyutho ni gik piny cegin tundo.​",Present world conditions show that we now live in “the conclusion of the system of things.”​
"I hongo ma oro 1,000 ma Yesu ladhum’iye piny, go lakwanyo woko candirok je i piny.","During Jesus’ 1,000-year rule from heaven over the earth, he will bring all suffering to an end. "
"Medo kwoŋ meno, Yesu bino tiyo paka jacwayi ri Were i wi migam aka lacwako reco pa ji je ma jotimo gima Were mito.","Besides serving as King, Jesus will act as High Priest and will cancel the sins of those who love God."
" Ameno Were bino oro Yesu kwanyo woko two, ti, kodi tho"," Thus, by means of Jesus, God will eliminate sickness, aging, and death."
"K’ibino i Kingdom Hall, ilanwaŋo ji ma jomaro Were sano jofonjere nger ma jonyalo timo gima Were mito","At the Kingdom Hall, you will meet people who love God and want to learn how to please him"
Joma timo gima Were mito ama jolabedo i piny manyen. ,People who obey God will live in Paradise. 
Yesu odhiro jofonjirok pere dwaro jomamwol jowofonji jo gikipiny ma Were mito. ,Jesus sent his followers to search for meek people and to teach them how to become acceptable to God. 
Pama Jehova dwaro ji ma jolabedo i piny manyen. ,"Today, Jehovah is preparing millions of people for life in the future Paradise on earth. "
" I Kingdom Hall, kama Wajulizi pa Jehova jorom’iye lamo Were, ji jofonjere nger ma jonyalo bedo cwo gi mon maber. ","At Kingdom Halls of Jehovah’s Witnesses, people learn to be better husbands and fathers and to be better wives and mothers. "
Nyithindho gi jonywol pajo jolamo Were kanyacel kendo jofonjere nger ma Baibul nyalo konyo jo i kwo.​,Children and parents worship together and learn how to benefit from the good news.​
 Wac maber ma mako kwoŋ jom’otho a mene?,What is the good news about the dead?
Ginaŋo matundo kwoŋ dhano k’otho?, What is the condition of the dead?
 Jom’otho jonyalo luwo kodi wan?,Can the dead speak to us?
 Jomene ma jolacerino?,Who will return to life?
Cerino fonjo wan aŋo kwoŋ Jehova?,What does the resurrection tell us about Jehovah?
"Munyo Yesu otundo Bethania cegin gi Yerusalem, onwaŋo mere pere m’ilwoŋo ni Lazaro otho aka oyido nyaka ocowo ndelo aŋwen i kalyel.","When Jesus arrived at Bethany near Jerusalem, his friend Lazarus had been dead for four days."
" Yesu okidho dho kalyel gi Marita kodi Maria, nyimin Lazaro "," Jesus went to the burial place with Martha and Mary, sisters of the deceased man."
"I hongo macek, ji jocokere.","Soon, a crowd gathered."
Iparo ni Marita gi Maria jowinjo nedi munyo Yesu ocerino Lazaro?​,Can you imagine the joy of Martha and Mary when Jesus raised Lazarus back to life?
Marita oyido oŋeyo wac maber ma mako kwoŋ jom’otho. ,Martha was already aware of the good news about the dead. 
Go oyido oŋeyo ni Jehova bino cerino jom’otho kendo jowobedi i piny ka.,She knew that Jehovah will resurrect the dead to live on earth again
"Were owaco ri Adam ni: “Ocweyin wok i lowo, aka doko ibino lokere lowo.”",God told Adam: “Dust you are and to dust you will return.”
Were ooro lowo munyo cweyo dhano.,  Humans are made from dust.
"Wakibedo cuny m’oruko del, aka ka watho ongoye gima both. ","We are not spirits living in a body of flesh,  so no part of us survives death."
"Ka watho nyaŋith wan bende tho, odoko wakinyali paro.","When we die, our brain dies too, and our thoughts perish."
"Am’omiyo Lazaro k’owaco gimoro kada aciel m’otimere i hongo ma go ocowo munyo otho, rupiri ongoye gima jom’otho joŋeyo.​"," Thus, Lazarus said nothing about his experience of death because the dead are unconscious.​"
Were waŋo ji i mac makitho?,Does God torment people with fire after death?
"Be, rupiri Baibul fonjo ni ongoye gima jom’otho joŋeyo, fonji ma mac makitho obedo fonji matwodo mamiyo ji kipusa Were ru gima go kitimi.","Since the Bible shows that the dead are unconscious, hellfire is clearly a false teaching that slanders God."
"  Jehova obedo Were majamar, go kinyal cando ji ameno.​",  The very idea of tormenting people with fire disgusts him.​
Neni vidiyo Jom’otho Jonyalo Kwo Kendo?	Watch the video What Is the Condition of the Dead?																								,
Jom’otho jokinyali luwo kosa winjo.,The dead can neither speak nor hear. 
To nitie jomalaika mareco ma joluwo gi ji to jorendere ni a jom’otho.,"But some angels are wicked, and they may speak to people and pretend to be dead humans"
Jehova kimiti ni watem luwo kodi jom’otho,Jehovah forbids trying to inquire of the dead.​
Ji mathoth ma jotho jolacerino odoko jowobedi i piny ka.,Many millions of people who are dead in the grave will return to life on earth.
"Joman ma cango jotimo gikipiny mareco rupiri oyido fodi jokoŋeyo Were, bende jolacerino.​",Even some who did not know God and who practiced bad things will be resurrected
"Joma jolacerino jolafonjere adieri ma mako kwoŋ Were, jowonyali ketho yeyo pajo i Yesu, kodi timo gikipiny ma go mito.",Resurrected ones will be able to learn the truth about God and to exercise faith in Jesus by obeying him. 
Jono ma jolacerino to jotimo gima Were mito jolabedo i piny ka cil gi cil,Those who return to life and do good things will be able to enjoy life forever on earth.​
Wani gi geno ni jom’otho jolacerino rupiri Were odhiro Wode to tho ri wan.,God made hope for the dead possible by sending his Son to die for us.
"Ri ameno, cerino fonjo wan ni Jehova omaro wan swa kendo go nigi wor. ",So the resurrection tells us about Jehovah’s love and undeserved kindness.
" Ka jom’otho jocerino, ŋa m’imito neno?","  When the dead return to life, whom do you especially want to see?"
 Ker pa Were a ginaŋo?,1. What is God’s Kingdom?
 Raŋo Yesu ama ripere bedo Kere?,2. Why is Jesus the ideal King?
 Jomene ma joladhumo gi Yesu?,3. Who will rule with Jesus?
 Ginaŋo m’otimere munyo nyaka Yesu ocako dhumo?,4. What happened when Jesus began ruling?
 Ker pa Were timo aŋo pama?,5. What does God’s Kingdom accomplish?
Raŋo Yesu ama ripere bedo kere?,What makes Jesus an ideal King?​
Ker pa Were obedo dhum ma polo. ,The Kingdom of God is a heavenly government.
"Bino kwanyo woko dhum pa ji je, aka lemiyo gima Were mito w’otimere i polo kodi i piny. ",It will replace all other governments and will cause God’s will to be done in heaven and on earth. 
Wac ma mako kwoŋ Ker pa Were obedo wac maber swa, The news about God’s Kingdom is good. 
 Ker pa Were cegin bino wocaki dhumo ji i nger maber.,Soon God’s Kingdom will satisfy man’s need for good government.
 Ker pa Were lariwo ji je ma jolabedo i piny ka., It will unite everyone living on earth
Ker moro je ripo bedo gi kere.,A kingdom must have a king.
 Yesu Kristo ama Jehova oyero bedo Kere ma Ker pere," Jehovah appointed his Son, Jesus Christ, to be King of His Kingdom."
Wod Were ama ripere bedo Kere rupiri go nigi wor aka timo gim’otire hongo je. ,God’s Son is the ideal King because he is kind and he is firm for what is right
 Aka Yesu ni gi meni kendo nyalo konyo ji rupiri go bino dhumo g’ipolo.," Also, he is powerful enough to help people because he will rule over the earth from heaven."
" Munyo ocerino, go ogiki i polo to bedo yu cingi Were maracuc to kuro Were miyo go dhum."," After he was resurrected, he ascended to heaven and sat down to wait at Jehovah’s right hand."
" Rumacen, Were omiyo go dhum to cako dhumo."," Finally, God gave him power to begin ruling.​"
Nitie kitipa pa ji ma Baibul lwoŋo ni “jomaleŋ” ma joladhumo gi Yesu i polo.,A group called “the holy ones” will rule with Jesus in heaven. 
Jehova ocako cango con yero jono. ,The first holy ones chosen were Jesus’ faithful apostles.
"Go otelo kodi jomoor pa Yesu. Kir konon, Jehova fodi yero cwo gi mon ma joladhumo gi Yesu.", Jehovah has continued to select faithful men and women as holy ones until now.
" Jono jocerino gi del manyacuny, paka Yesu ocerino."," Like Jesus, they are resurrected with a spiritual body."
Joma jolakadho i polo jolabedo ji adi? , How many people go to heaven?
 Yesu olwoŋo jo ni “nyaka rombo”, Jesus called them a “little flock.” 
" (Luka 12:32) Jolabedo ji 144,000.","(Luke 12:32) They will finally number 144,000. "
 Jono kende ama jolakadho i polo to jodhumo piny kanyacel gi Yesu.,They will rule over the earth with Jesus
Ker pa Were ocako dhumo i oro ma 1914.,God’s Kingdom began ruling in 1914. 
"Gima Yesu otelo timo munyo nyaka cako dhumo, a bolo Sitan kodi jwogi pere i piny. ",Jesus’ first action as King was to throw Satan and his demons down to the earth.
Gino omiyo Sitan nge tocako kelo ri ji teko i piny gipi.,Satan became furious and began causing trouble throughout the earth.
"Wok i hongo no, teko omedere swa i piny.","Since then, mankind’s woes have severely increased."
" Lweny, kec, two, kodi yengirok pa piny, am’obedo megi kwoŋ gikipiny manyutho ni Ker pa Were cegin cako dhumo piny"," Wars, famines, epidemics, and earthquakes are all part of a “sign” that the Kingdom will soon take full charge of earth’s affairs.​"
"Luwo i tic ma fonjo ji Baibul ma pama timere i piny gipi, Ker pa Were riwo ji mathoth.","By means of a global preaching work, God’s Kingdom is already uniting a great crowd of people from all nations"
 Pama ji mathoth joyeyo dhum pa Yesu.,Millions of meek people are becoming subjects of Jesus. 
 Ker pa Were lakuro jo k’obino reyo woko piny pa Sitan marac me.,God’s Kingdom will protect them when it destroys the present wicked system of things on earth. 
" Ri ameno, ji je ma jomito limo silwany ma Ker pa Were lakelo i piny, joripo yeyo Yesu.​",So all who want to benefit from God’s Kingdom should learn to be obedient subjects of Jesus.
"I hongo ma oro 1,000, Ker pa Were latimo gikipiny je ma Were ocano timo ri ji wok i cakirok.","During a period of 1,000 years, the Kingdom will accomplish God’s original purpose for mankind. "
Piny gipi bino lokere kabedo maŋon. ,The earth will become a global paradise.
"Rumacen, Yesu ladwoko dhum bongi Bamere. ","Finally, Jesus will hand the Kingdom back to his Father"
Nitie dhano moro je m’inyalo wacoye ri go wac maber me ma mako kwoŋ Ker pa Were?,Do you know someone whom you would like to tell about God’s Kingdom?​
"K’imito ŋeyo maloyo kwoŋ oro ma 1914, soma papila 217-220, ma kitawo m’ilwoŋo ni What Can the Bible Teach Us?"," For details of how Bible prophecy foretold the year 1914, see pages 215-218 of the book What Does the Bible Really Teach?"
Raŋo nywomirok i cik kelo kisangala i peco?, Why is marriage vital to family happiness?
Jacwo kodi cege joripo tiyere nedi?, How should a husband and a wife treat each other?
 Wiripere pokirok ka nywomirok mewin ongoy’iye kisangala?, Should you abandon an unhappy marriage?
"Nyithindho, aŋo ma Were mito ri win?"," Children, what does God want for you?"
" Jonywol, winyalo konyo nedi nyithindho mewin limo kisangala?"," Parents, how can your children find happiness?"
Gikipiny mareco ocako nedi?, How did evil begin?
Cwec pa Were oyido k’otire?, Was God’s creation defective?
Raŋo Were oweyo candirok bedo tundo pama?, Why has God allowed suffering until now?
Silwany mene ma wanigine rupiri Were fodi odiyo cunye?,What does God’s patience allow us to do?
 Wanyalo nyutho nedi ni wamito dhum pa Were?,How can we choose God as our Ruler?
Din mar’adieri nitie acel kende?, Is there only one true religion?
Yesu owaco aŋo kwoŋ Jokristo ma twodo?,What did Jesus say about false Christians?
Inyalo ŋeyo nedi din mar’adieri?,How can you recognize true worshippers?
 Onyo pama inyalo ŋeyo din mar’adieri?,Can you identify the true religion?
 Raŋo Were otimo maber miyo wan cik?, Why do we need guidance?
 Rieko ma Were miyo wan konyo wan nedi?, What are Bible principles?
 Cik ario maloyo man je a mene?,Which two principles are primary?
Cik pa Were konyo wan nedi?,How do Bible principles benefit us?
Were winjo kwayo je?,Does God listen to all prayers?
Waripo kwayo nedi?,How should we pray?
Raŋo Jokristo joromo kanyacel?,Why do Christians meet together?
Inyalo nedi core cegin gi Were?,How can you draw close to God?
Bero aŋo m’ilalimo k’icore cegin gi Were?,How will drawing close to God benefit you?
Din je ber?,Is all religion good?
Ginaŋo ma latundu kwoŋ din?,What is the good news about religion?
Ginaŋo ma jomaber no joripo timo?,What should sincere people do?
Were okeli nedi kisangala i piny gipi?,How will God bring joy to every land?
 Raŋo cango Were oyero Joisiraili bedo ji pere?,Why did God organize ancient Israel?
Raŋo Jokristo mar’adieri joripo bedo i kitipa acel?,Why are true Christians organized?
Din pa Wajulizi pa Jehova manitie konon ocako nedi?,How did the modern-day organization of Jehovah’s Witnesses begin?
Wajulizi pa Jehova jolimo nedi teli?,How are Jehovah’s Witnesses organized?
Bero aŋo m’ilalimo k’imedere fonjirok Baibul?,How will continuing your Bible study benefit you?
Inyalo konyo nedi joman?,How could your knowledge of God benefit others?
Bero aŋo m’ilalimo?,What relationship with God can you enjoy?
 Inomedere nedi dongo?,How can you continue to progress?
"Hongo ma Were oweyo ji dhumo, nyutho kamaler ni ji jokinyal cowo teko manitie i piny",God has allowed men to rule for long enough to demonstrate that they cannot resolve mankind’s problems
Gikipiny mareco ocako i piny munyo Sitan oluwo twodo mar’apena,Evil began on earth when Satan told the first lie
" I cakirok Sitan obedo malaika maber, to rumacen olokere malaika marac rupiri go “k’obedo yuthenge mar’adieri"," Satan was originally a perfect angel, but “he did not stand fast in the truth"
Go omito ni ji jowolami go ayin aka sano Were kende ama waripo lamo,He developed a desire for worship that rightly belongs only to God
" Gim’owok’iye, Sitan owondo Eva to kelo rigo cayo Were"," Satan lied to the first woman, Eve, and persuaded her to obey him instead of God"
Adam bende oriwere gi Eva to joturo cik pa Were,Adam joined Eve in disobeying God
Gima Adam otimo owok’iye candirok kodi tho,Adam’s decision led to suffering and death
"Munyo Sitan okelo ri Eva turo cik pa Were, meno amo’bedo cakirok ma piemo gi dhum pa Were","When Satan suggested that Eve disobey God, he was starting a rebellion against God’s sovereignty, or position as Most High"
Ji mathoth jomakere gi Sitan aka jokwero Were bedo jadhum pajo,The majority of mankind have joined Satan in rejecting God as their Ruler
Am’omiyo Baibul waco ni pama Sitan am’obedo “jadhum ma piny me," Thus, Satan has become “the ruler of the world"
Kis gima Were ocweyo k’obedo gi teko moro je. ,All of God’s works are perfect. 
Ji kodi jomalaika ma Were ocweyo oyido jonyalo winjo go.,The humans and angels whom God created were capable of obeying God perfectly. 
Were omiyo wan thwolo ma timo gimaber kosa gimarac. ,God created us with the freedom to choose between doing good and doing evil. 
Thwolo no miyo wan silwany ma nyutho ni wamaro Were,That freedom gives us a way to express love for God.
Hongo maromo otieko kadho munyo Jehova fodi oweyo ji piemo gi dhum pere.,"For a limited time, Jehovah has allowed rebellion against his sovereignty."
 Raŋo go otimo ameno?,Why?
 Wonyali nyutho ni go kende amanyalo dhumo maber. ,To show that no effort to rule without him benefits people. 
"Oro 6,000 m’otieko kadho munyo ji ama jodhumo,  nyutho kamaler ni jodhum ma piny me jokinyali kwanyo woko lweny, turo cik, kodi two","After 6,000 years of human history, the evidence is clear that human rulers have failed to eliminate war, crime, injustice, or disease."
"Pokirok kwoŋ dhum pa ji, dhum pa Were kelo bero ri joma joyeyo dhum no.","In contrast to human rulership, God’s rule benefits those who accept it. "
Jehova cegin kwanyo woko dhum pa ji je. ,"Soon, Jehovah will bring all human government to an end. "
Jono kende ma joyeyo dhum pa Were ama joladoŋ i piny,Only people who choose to be ruled by God will inhabit the earth.​
Sitan waco ni ji jolamo Were rupiri nitie gikipiny ma jolimo wok bonge,Satan claimed that no one would serve Jehovah out of unselfish love
 Imito nyutho ni meno obedo twodo? ,Would you like to disprove that lie? 
"Inyalo, rupiri Were fodi odiyo cunye wanyali nyutho ka wamito dhum pere kosa apa ji","You can, God’s patience allows all of us to show whether we favor rule by God or rule by man"
Gima watimo amanyutho ni wamito dhum pa Were kosa be,We indicate our choice by the way we live
Gima watimo amanyutho ni wamito dhum pa Were kosa be,Our choices reveal whether we want God as our Ruler
"Wanyutho ni wayero Were dhumo wan ka wayero din mar’adieri, ma luwo Wac pa Were, Baibul","We can choose God as our Ruler by seeking out and practicing true worship based on God’s Word, the Bible"
"Wakwero Sitan dhumo wan munyo wakidonji i wac mar’adhum ma piny me kodi i lweny, paka Yesu otimo","We can reject Satan as our ruler by keeping out of politics and war, as Jesus did"
Sitan oro meni pere miyo ji timo kidakana kanyacel gi kula moro je marac,"Satan uses his power to promote immoral, harmful practices"
