Adhola,English
Won ndelo omako nge gi Odongo,"

The farmer was angry with Odongo"
Obwoko go ni lado? gi dhoki rupir jo camo cemo pere,He threatened to keep the cows for eating his crops
Wok ndelo no Odongo ogwoko dhoki timo banja kendo," After that day, the boy made sure that the cows did not get into trouble again"
Ndelo man nyithindho jokidho i kisiya gi adha jo,"On another day, the children went to the marketplace with Nyajaruya"
" Go oyido nitie gi kitandilo míatana iye fufa, sukari gi sabuni"," She had a stall selling vegetables, sugar and soap"
Apiyo omaro waco ri jonyew welo ma gigipiny,"

Apiyo liked to tell customers the price of items"
Odongo oyido tweyo gigipiny míotiek nyewo,Odongo would pack the items that customers bought
I cowe mere jo madho cai kanyacel,At the end of the day they drank chai tea together
Jo konyo adha jo gi kwano pesa míolimo,They helped grandmother to count the money she earned
Mayot yot ywomirok orumo aka oripo ni nyithindho no jo wodoki i tindi pa jo,But too soon the holidays were over and the children had to go back to the city
Nyajaruwa omiyo Odongo junga to miyo Apiyo sweta,"

Nyajaruya gave Odongo a cap and Apiyo a sweater"
Otweyo ri jo kit cemo ma camo iyo,She packed food for their journey
"Munyo ba jo obino omo jo, oyido jo kumito dok","When their father came to fetch them, they did not want to leave"
Nyithindho jo kwayo adha jo dok gi jo i tindi madwo?,The children begged Nyajaruya to go with them to the city
" Obwonjo to waco ni, ""Asa ti ma kidho i tindi madwo?""","

She smiled and said, ""I am too old for the city"""
Alabedo ka akur win bino thurin kendo,I will be waiting for you to come to my village again
Odongo gi Apiyo jopodho i kor adha jo ma joridho matek aka jo sewila go,Odongo and Apiyo both hugged her tightly and said goodbye
Munyo Odongo gi Apiyo jo dok i sikulu jo lyesa¬†ri wadi gin kwo? kwo ma calo,When Odongo and Apiyo went back to school they told their friends about life in the village
Nyithindho megi jo paro ni kwo ma tindi ber,Some children felt that life in the city was good
Megi jo paro ni calo ber loyo,Others felt that the village was better
To m‚Äôoloyo aloya swa kis dhano oyeyo ni Odongo gi Apiyo jo nitie gi adha jo maber m‚Äôoasere!,"

But most of all, everyone agreed that Odongo and Apiyo had a wonderful grandmother!"
Gweno Kodi Ongongolo,Chicken and Millipede
Gweno kodi Ongongolo oyido mere,Chicken and Millipede were friends
To oyido ju tere pyemo gi achieli kwong jo,But they were always competing with each other
Ndelo achieli ju yiko tuko mupira nyaka juneni jatuko maberi,One day they decided to play football to see who the best player was
Jukadho ikisawe toju chako tuko pajo,They went to the football field and started their game
Gweno oyido ni piyopiyo to Ongongolo oyido nipiyo swa,"Chicken was fast, but Millipede was faster"
Gweno ogeyo mupira bori to Ongongolo ogweyo bori swa,"Chicken kicked far, but Millipede kicked further"
Gweno to chako winjo nywowiroki,Chicken started to feel grumpy
Juyiko tuko makitewa neno ngata oloyi,They decided to play a penalty shoot-out
Ongongolo obedo jamaki gole,First Millipede was goal keeper
Gweno otewa gole achieli,Chicken scored only one goal
Nyo totundo sawa pa Gweno ma makuro gole,Then it was the chickenís turn to defend the goal
Ongongolo ogweyo mupira totewa,Millipede kicked the ball and scored
Ongongolo oketa mupira totewa,Millipede dribbled the ball and scored
Ongongolo ogoyo mupira giwiye totewa,Millipede headed the ball and scored
Ongongolo otewa gole abich!,Millipede scored five goals
Gweno omako nge ni go ofiriwa,Chicken was furious that she lost
Go oyido obedo jakifiriwa marachi swa,She was a very bad loser
Ongongolo ochako nyero rupiri mere pere oyido timo ginyero,Millipede started laughing because his friend was making such a fuss
Gweno omako nge to yawo dhoke malachi swa to mwonyo Ongongolo,Chicken was so angry that she opened her beak wide and swallowed the millipede
"Munyo Gweno oyido doki pecho, go oromo gi yoki Ongongolo","As Chicken was walking home, she met Mother Millipede"
Yoki Ongongolo openjo ni ineno ye nyathi parani? ," Mother Millipede asked, ""Have you seen my child?"""
Gweno ku wacho gimoro jye,Chicken didnít say anything
Yoki Ongongolo obedo gi rembo,"

Mother Millipede was worried"
Nyaka to yoki Ongongolo winjo dwondo jo mathini,Then Mother Millipede heard a tiny voice
Konyani Mama dwondi jo oywaki,‚ÄúHelp me mom!‚Äù cried the voice
Yoki Ongongolo ongiyo thubongi go to winjo gi kikangasa swa,Mother Millipede looked around and listened carefully
Dwondi jo owoki iyii Gweno,The voice came from inside the chicken
"Yoki Ongongolo okoko, ori meni perini ma were omiyini nyathi paran! Ongongolo nyalo wotho ngweche marachi swa makibilere","Mother Millipede shouted, ‚ÄúUse your special power my child!‚Äù Millipedes can make a bad smell and a terrible taste"
Gweno ochako kichiroki pa two,Chicken began to feel ill
Gweno ochukere,Chicken burped
Nyaka to mwonyo gi ngulo, Then she swallowed and spat 
Nyaka to jiro gi wolo,Then she sneezed and coughed
Munyo owolo , And coughed
Ongongolo ochali pa oyido kimiti,The millipede was disgusting!
Gweno owolo nyuka owolo woko Ongongolo iyii go,Chicken coughed until she coughed out the millipede that was in her stomach
Yoki Ongongolo gi nyathi pere jurweta malo iwi yathi pondo,Mother Millipede and her child crawled up a tree to hide
"Woki isawa no, Gwendi kodi Ongongolini jubedo jukwori","From that time, chickens and millipedes were enemies"
Jo calo mawan jo jolo dhako no to do? both wan,My village people welcomed that woman and she remained with us.
"I dyer wor dhako no okoko ni, ""Nyathi! Eno nyathi wok""","In the middle of the night that woman shouts that, ""Child! Yes the child is coming out"""
Aneno dhano to aka?asa go tek tek,I saw that woman and I analyzed her very well
Ji jo ?weco kwo?go,People ran away from her
Jalo oti?o go to dok gine peco pere,That man carried her and took her to his  home
Nyathi punda oti?o jalo i gongo munyo otegino,A small donkey carried that man on its back when it grew mature.
